[rosmaster.main][INFO] 2021-05-09 10:49:46,477: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-05-09 10:49:46,477: Starting ROS Master Node
[xmlrpc][INFO] 2021-05-09 10:49:46,477: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-05-09 10:49:46,478: Started XML-RPC server [http://shang:11311/]
[rosmaster.master][INFO] 2021-05-09 10:49:46,478: Master initialized: port[11311], uri[http://shang:11311/]
[xmlrpc][INFO] 2021-05-09 10:49:46,478: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-05-09 10:49:46,502: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:49:46,503: +PARAM [/roslaunch/uris/host_shang__36515] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:49:46,591: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:49:46,591: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:49:46,637: +SERVICE [/rosout/get_loggers] /rosout http://shang:40781/
[rosmaster.master][INFO] 2021-05-09 10:49:46,638: +SERVICE [/rosout/set_logger_level] /rosout http://shang:40781/
[rosmaster.master][INFO] 2021-05-09 10:49:46,639: +PUB [/rosout_agg] /rosout http://shang:40781/
[rosmaster.master][INFO] 2021-05-09 10:49:46,642: +SUB [/rosout] /rosout http://shang:40781/
[rosmaster.master][INFO] 2021-05-09 10:50:10,311: +PARAM [/roslaunch/uris/host_shang__38123] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,318: +PARAM [/wam_v/ship_controller/right_motor_command_topic] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,318: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,318: +PARAM [/object_recognition_node/input_cloud] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,318: +PARAM [/wam_v/left_driving_force_controller/gradient_descent/tolerance] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,318: +PARAM [/wam_v/ship_controller/angular/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,318: +PARAM [/robot_pose_ekf/imu_used] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,318: +PARAM [/robot_pose_ekf/odom_used] by /roslaunch
